# dvcd|name
ADAMT|정산금
ADAY|일일
ADDRB|주소록
ADDR_1|주소1
ADDR_2|주소2
ADDR|주소
ADD_AMT|가산금액
ADD_CLSPOS_CD|가산직급코드
ADD_CSAT_AVG_PNT|가산수능평균점수
ADD_CSAT_LOW_PNT|가산수능최저점수
ADD_CSAT_STD_DEVIT|가산수능표준편차
ADD_CSAT_TOP_PNT|가산수능최고점수
ADD_DCNT|가산일수
ADD_DVCD|가산구분코드
ADD_MONS_CNT|가산개월수
ADD_PNT_ARTC|가산점수항목
ADD_PNT_YN|가산점수여부
ADD_PNT|가산점수
ADD_RATE|가산비율
ADD_TERM|가산기간
ADD_TRANF_TIME|가산대체시간
ADD|가산
ADFN|발전기금
ADJOAT_SNDG_YN|겸직승인통보서송부여부
ADJOAT|겸직승인통보서
ADJO_BEGIN_YMD|겸직시작일자
ADJO_DEPT_CD|겸직부서코드
ADJO_DEPT_YN|겸직부서여부
ADJO_DUTY_NM|겸직직무명
ADJO_END_YMD|겸직종료일자
ADJO_INSTI_NM|겸직기관명
ADJO_INSTI_OFPS_NM|겸직기관직위명
ADJO_MATER|겸직사항
ADJO_MONS_CNT|겸직개월수
ADJO_OFPS_NM|겸직직위명
ADJO_REASON|겸직사유
ADJO_TYPE_DVCD|겸직유형구분코드
ADJO_TYPE_NM|겸직유형명
ADJO|겸직
ADJT_BULDM_AREA|부속건축물면적
ADJT_BULDM_NM|부속건축물명
ADJT_BULDM_SQMT|부속건축물제곱미터
ADJT_EQUP_NM|부속기자재명
ADJT|부속
ADJU|정합성
ADJ_AMT|조정금액
ADJ_APLCNT_CTCKR|조정신청자연락처
ADJ_APLCNT_ID|조정신청자ID
ADJ_APPLF_TITLE|조정신청서제목
ADJ_APPL_DEPT_CD|조정신청부서코드
ADJ_APPL_NO|조정신청번호
ADJ_APPL_REASON|조정신청사유
ADJ_APPL_SEQ|조정신청순번
ADJ_APPL_YMD|조정신청일자
ADJ_BASS_DVCD|조정기준구분코드
ADJ_BASS_TEXT|조정기준내용
ADJ_BEGIN_YMD|조정시작일자
ADJ_BF_ENSC_AMT|조정전입학금액
ADJ_BF_ETC_AMT|조정전기타금액
ADJ_BF_LSSN_AMT|조정전수업금액
ADJ_BUDG_TEXT|조정예산내용
ADJ_CFMT_YMD|조정확정일자
ADJ_CFMT_YN|조정확정여부
ADJ_CLCL_BASI|조정산출근거
ADJ_COST|조정단가
ADJ_DTAI_CALC_FACT_1|조정내역계산요소1
ADJ_DTAI_CALC_FACT_2|조정내역계산요소2
ADJ_DTAI_CALC_FACT_3|조정내역계산요소3
ADJ_DTAI_CALC_FACT_4|조정내역계산요소4
ADJ_DTAI_CALC_FACT_QTY_1|조정내역계산요소수량1
ADJ_DTAI_CALC_FACT_QTY_2|조정내역계산요소수량2
ADJ_DTAI_CALC_FACT_QTY_3|조정내역계산요소수량3
ADJ_DTAI_CALC_FACT_QTY_4|조정내역계산요소수량4
ADJ_DTAI|조정내역
ADJ_DTMS|조정일시분초
ADJ_DT|조정일시
ADJ_END_YMD|조정종료일자
ADJ_HRS|조정시수
ADJ_LEC_HRS_ARTC|조정강의시수항목
ADJ_LEC_HRS|조정강의시수
ADJ_NCNT|조정개수
ADJ_NM|조정명
ADJ_ODR|조정차수
ADJ_PNT_ARTC|조정점수항목
ADJ_PNT|조정점수
ADJ_POINT|조정학점
ADJ_PSBL_DVCD|조정가능구분코드
ADJ_RATE_DVCD|조정비율구분코드
ADJ_REASON_ARTC|조정사유항목
ADJ_REASON_DVCD|조정사유구분코드
ADJ_REASON|조정사유
ADJ_SALC_CF_PROT_YMD|조정호봉차기승급일자
ADJ_SALC_DVCD|조정호봉구분코드
ADJ_SALC|조정호봉
ADJ_SEQ|조정순번
ADJ_TEMPR|조정온도
ADJ_TIMT_DTAI|조정시간표내역
ADJ_TITLE|조정제목
ADJ_TMCNT|조정횟수
ADJ_YN_ARTC|조정여부항목
ADJ_YN|조정여부
ADJ|조정
ADMAT|행정직
ADMPT|행정실
ADMTK_NO|출입증번호
ADMTK|출입증
ADMT_AVG_GPA|인정평균평점
ADMT_BASS_DVCD|인정기준구분코드
ADMT_BEGIN_YMD|인정시작일자
ADMT_BNUS_AMT|인정상여금액
ADMT_CONV_RT|인정환산율
ADMT_DVCD|인정구분코드
ADMT_ENCO_AMT|인정장학금액
ADMT_END_YMD|인정종료일자
ADMT_EXTS_WORK_TIME|인정연장근무시간
ADMT_FAC_DVCD|인정이수구분코드
ADMT_GRADE_DVCD|인정성적구분코드
ADMT_GRD_CD|인정등급코드
ADMT_HRS|인정시수
ADMT_MONS_CNT|인정개월수
ADMT_PAYM_AMT|인정납부금액
ADMT_PNT|인정점수
ADMT_POINT|인정학점
ADMT_REASON_DVCD|인정사유구분코드
ADMT_REASON|인정사유
ADMT_RESPN_HRS|인정책임시수
ADMT_RT_ARTC|인정율항목
ADMT_RT|인정율
ADMT_SBJT_CNT|인정과목수
ADMT_SMR|인정학기
ADMT_SUBJT_CD|인정교과목코드
ADMT_TIME|인정시간
ADMT_YMD|인정일자
ADMT_YN|인정여부
ADMT_YYMMDD|인정년월일
ADMT_YY|인정연도
ADMT|인정
ADOP|입양
ADORD_PNT_DVCD|행정지시점수구분코드
ADORD_PNT|행정지시점수
ADORD|행정지시
ADPA_CPTAX|선급법인세
ADPA_DEDU_AMT|선급공제금액
ADPA_NO|선급번호
ADPA_PAYTA|선급지급액
ADPA_UNEX|선급법인세
ADPA_YN|선급여부
ADPA|선급
ADPT_DVCD|가점구분코드
ADPT_EXCL_EDU_PNT|가점제외교육점수
ADPT_EXCL_RSCH_PNT|가점제외연구점수
ADPT_EXCL_SRVE_PNT|가점제외봉사점수
ADPT_EXCL_TOTL_EVL_PNT|가점제외총평가점수
ADPT|가점
ADP_CONV_ADMT_PPNU_NM|겸임환산인정인원명
ADP_CONV_ADMT_PPNU|겸임환산인정인원
ADP_INVI_DVCD|겸임초빙구분코드
ADP_INVI_ENSTNT_PPNU|겸임초빙재학생인원
ADP_INVI_ORGZ_PPNU|겸임초빙편제인원
ADP_PRFS_TTCH_YN|겸임교수팀티칭여부
ADP_QUALF_YN|겸임자격여부
ADP_REMA_POINT|겸임잔여학점
ADP_RESP_SBJT_NM|겸임담당과목명
ADP_RESP_TASK_NM|겸임담당업무명
ADP_TCHS_CONV_PPNU|겸임교원환산인원
ADP_TCHS_CTCKR|겸임교원연락처
ADP_TCHS_RESO_NM|겸임교원직책명
ADP_TCHS_RESP_HRS|겸임교원담당시수
ADP_TCHS_WORKP|겸임교원근무처
ADP|겸임
ADRT_CMPLT_NUMB|진척도완료건수
ADRT_NIMPL_NUMB|진척도미시행건수
ADRT_NM|진척도명
ADRT_OPGSS_NUMB|진척도진행중건수
ADRT_PGSS_MEDIUM_NUMB|진척도진행중건수
ADRT_TOT_NM|진척도계명
ADRT_TOT|진척도계
ADRT_YET_IMPL_NUMB|진척도미시행건수
ADRT|진척도
ADSB|가감
ADTN_GRD|적응등급
ADTN_PNT|적응점수
ADTN|적응
ADTO|가중
ADT|증축
ADUP_CSRV_DCNT|합산근속일수
ADUP_CSRV_MONTH_CNT|합산근속월수
ADUP_CSRV_YCNT|합산근속년수
ADUP_RETN_AMT|합산반납금액
ADUP_SUPLMT_DVCD|합산추가구분코드
ADUP|합산
ADVANCE_FIED|진출분야
ADVANCE|진출
ADVC_APPL_NO|발전신청번호
ADVC_FUND_CD|발전기금코드
ADVC_FUND|발전기금
ADVC_PLAN_CORLT|발전계획연관성
ADVC_PLAN_TEXT|발전계획내용
ADVC_PLAN|발전계획
ADVC|발전
ADVRCV_CALCL_ACCTITEM_CD|선수금정산비목코드
ADVRCV|선수금
ADVS|권휴
ADVT|장점
AFCMP_REG_YY|자회사등록연도
AFCMP|자회사
AFF_CD|계열코드
AFF_DVCD|계열구분코드
AFF_EDU_PNT|계열교육점수
AFF_ENSTNT_CNT|계열재학생수
AFF_NM|계열명
AFF_ORDP|계열석차
AFF_POCA_PPNU_SM|계열정원인원합계
AFF_POCA_PPNU|계열정원인원
AFF_REG_PPNU_SM|계열등록인원합계
AFF_REG_PPNU|계열등록인원
AFF_RSCH_PNT|계열연구점수
AFF_SRVE_PNT|계열봉사점수
AFF|계열
AFILE|붙임문서
AFLX_PATH_CD|유입경로코드
AFLX|유입
AFN_ACC_CD|후계좌코드
AFN_BUDG_CD|후예산코드
AFN_DLNG_DVCD|후처리구분코드
AFN_DLNG_PATH|후처리경로
AFN_DLNG_YN|후처리여부
AFN_FUND_CD|후기금코드
AFN|후
AFODEXP_AMT|급식비금액
AFODEXP_TFRE|급식비비과세
AFODEXP|급식비
AFRN|오후
AFTFAT_APPV_REASON|사후결재사유
AFTFAT_APPV_YN|사후결재여부
AFTFAT_DRAFT_TYPE|사후기안유형
AFTFAT|사후
AFT_CLCL_DTAI|이후산출내역
AFT_CORR_DTAI|이후정정내역
AFT_CORR_DVCD|이후정정구분코드
AFT_CORR_STAF_NO|이후정정교직원번호
AFT_DEL_DVCD|이후삭제구분코드
AFT_DRIV_DIST|이후주행거리
AFT_EVL_ARTC_NM|이후평가항목명
AFT_EVL_ARTC|이후평가항목
AFT_EVL_TARGT_DVCD|이후평가대상구분코드
AFT_EVL_TARGT_NM|이후평가대상명
AFT_EVL_TARGT|이후평가대상
AFT_FAC_DVCD|이후이수구분코드
AFT_FIED_CD|이후분야코드
AFT_FIED_NM|이후분야명
AFT_FLUK_GRADE_YN|이후유급성적여부
AFT_GPA|이후평점
AFT_GRDU_EVAL_FAC_DVCD|이후졸업사정이수구분코드
AFT_GRD_CD|이후등급코드
AFT_LARGE_ARTC|이후대항목
AFT_LATC_CD|이후대항목코드
AFT_LATC_NM|이후대항목명
AFT_MCNT|이후월수
AFT_MNGT_DEPT_CD|이후관리부서코드
AFT_PNT|이후점수
AFT_POINT|이후학점
AFT_RE_ATLEC_SMR|이후재수강학기
AFT_RE_ATLEC_SUBJT_CD|이후재수강교과목코드
AFT_RE_ATLEC_YEAR|이후재수강년도
AFT_ROOM_CD|이후호실코드
AFT_RSCHE|이후연구비
AFT_SUBJT_CD|이후교과목코드
AFT_TERR_DSTNCT|이후영역구분
AFT_TERR_DVCD|이후영역구분코드
AFT_TERR_NM|이후영역명
AFT_TERR|이후영역
AFT|이후
AGDP_EPMT_YN|고령자고용여부
AGDP|고령자
AGEA_NM|연령명
AGEA|연령
AGELNG|연령범위
AGENCY_YN|대행여부
AGENCY|대행
AGENT|에이전트
AGEN_AGREE_DVCD|안건동의구분코드
AGEN|안건
AGE|나이
AGLW_DSPTH_INSTI_NM|비위통보기관명
AGLW|비위
AGRADE_ACLE_PNT|A등급성취도점수
AGRADE|A등급
AGREE_BEGIN_DT|동의시작일시
AGREE_DT|동의일시
AGREE_DVCD|동의구분코드
AGREE_END_DT|동의종료일시
AGREE_MATER_CD|동의사항코드
AGREE_MATER_NM|동의사항명
AGREE_YMD|동의일자
AGREE_YN|동의여부
AGREE|동의
AGRE_DVCD|협정구분코드
AGRE_INSTI_CD|협정기관코드
AGRE_NO|협정번호
AGRE_SEQ|협정순번
AGRE_YMD|협정일자
AGRE|협정
AGRM_CCLS_ATDE|협약체결참석자
AGRM_CCLS_PLACE|협약체결장소
AGRM_CCLS_YMD|협약체결일자
AGRM_DPMJ_NM|협약학과명
AGRM_DVCD|협약구분코드
AGRM_END_YMD|협약종료일자
AGRM_PICG|협약담당자
AGRM_TEXT|협약내용
AGRM_UNIV_NM|협약대학명
AGRM_VLD_TERM|협약유효기간
AGRM_YY|협약연도
AGRM|협약
AHAC_ADMT_DCNT|공결인정일수
AHAC_APPL_POSTPNE_TERM|공결신청유예기간
AHAC_DCNT|공결일수
AHAC_DEPT_CD|공결부서코드
AHAC_EXCL_YN|공결제외여부
AHAC_FILE_DVCD|공결파일구분코드
AHAC_PRD_RMARK|공결교시비고
AHAC_REASON_DET_CD|공결사유세부코드
AHAC_REASON_DET_NM|공결사유세부명
AHAC_REASON_DVCD|공결사유구분코드
AHAC_REASON_NM|공결사유명
AHAC_UP_DVCD|공결상위구분코드
AHAC|공결
AHCI_NCNT|AHCI개수
AHCI_PNT|AHCI점수
AHCI|A&HCI
AHCI|AHCI
AHDOF|보류원
AINS_DEDU_AMT|연금보험공제금액
AINS_DEDU|연금보험공제
AINS_FEE_DEDU|연금보험료공제
AINS_USER_AMT|연금보험사용자금액
AINS|연금보험
AINVS|출자금
AIR_CONC|냉방비
AIR_CON_FACI|냉방시설
AIR_CON|냉방
AIR_WDAY_TRANS_EXP|항공주중교통비
AIR_WEND_TRANS_EXP|항공주말교통비
AIR|항공
AJPRFS_PPNU|겸임교수인원
AJPRFS|겸임교수
ALBA_DECL_YN|아르바이트신고여부
ALBA_YN|아르바이트여부
ALBA|아르바이트
ALBF|앨범비
ALECT_ALW_YN|연강허용여부
ALECT_SUBJT_YN|연강교과목여부
ALECT|연강
ALLOW|제수당
ALL_AUTHR_CNT|전체저자수
ALL_AVG_PNT_ARTC|전체평균점수항목
ALL_AVG_PNT|전체평균점수
ALL_AVG_YN|전체평균여부
ALL_AVG|전체평균
ALL_GPA_AVG|전체평점평균
ALL_GPA_LMTT_YN|전체평점제한여부
ALL_GRDE_YN|전체학년여부
ALL_GRD_AVG|전체등급평균
ALL_LEC_EVL_AVG_PNT|전체강의평가평균점수
ALL_LEC_EVL_PNT_ARTC|전체강의평가점수항목
ALL_LEC_EVL_PNT|전체강의평가점수
ALL_PGE_CNT_ARTC|전체페이지수항목
ALL_PGE_CNT|전체페이지수
ALL_PGE_TEXT|전체페이지내용
ALL_PGE|전체페이지
ALL_RANK|전체순위
ALL_YN|전체여부
ALL|전체
ALOTA|배정액
ALOTRT|배정율
ALOT_AMT|배정금액
ALOT_BEGIN_YMD|배정시작일자
ALOT_CANC_YMD|배정취소일자
ALOT_DAYNIG_DVCD|배정주야구분코드
ALOT_DEPT_CD|배정부서코드
ALOT_DET_MAJR_CD|배정세부전공코드
ALOT_END_YMD|배정종료일자
ALOT_IPSBL_REASON|배정불가사유
ALOT_IPSBL_YN|배정불가여부
ALOT_NO|배정번호
ALOT_ODR_CD|배정차수코드
ALOT_ODR|배정차수
ALOT_PNT|배정점수
ALOT_PPNU|배정인원
ALOT_RT|배정율
ALOT_SVR_NM|배정서버명
ALOT_TAMT_STCF|배정총액국고
ALOT_TIME_DTM|배정시간일시분
ALOT_WORKP_CD|배정근무처코드
ALOT_YMD|배정일자
ALOT_YN|배정여부
ALOT|배정
ALP_BANK_CD|알리페이은행코드
ALP_TGTR_DVCD|알리페이대상자구분코드
ALP_YN|알리페이여부
ALP|알리페이
ALSS_MEDIC|실손의료비
ALSS|실손
ALUF_AMT|동문회비금액
ALUF|동문회비
ALU|동문
ALW_BASI|허용근거
ALW|허용
AM9_BEF_LSSN_POINT|9시이전수업학점
AM9|9시
AMASS_AMT|적립금액
AMASS_CD|적립코드
AMASS_DVCD|적립구분코드
AMASS_NM|적립명
AMASS_RATE|적립비율
AMASS_TEXT|적립내용
AMASS_YN|적립여부
AMASS|적립
AMORE|상환액
AMOUNT|량
AMT_ARTC|금액항목
AMT_CHNGR_ID|금액변경자ID
AMT_CHNG_DT|금액변경일시
AMT_DVCD|금액구분코드
AMT_INFO|금액정보
AMT_LMTT_GROUP_CD|금액제한그룹코드
AMT_RATE_DVCD|금액비율구분코드
AMT_RECP_STUD_CNT|금액수령학생수
AMT_VARB_DTL_DVCD|금액변동상세구분코드
AMT_VARB_DVCD|금액변동구분코드
AMT|금액
ANGEL|천사
ANICEX|연봉외
ANIC_ALLOW_YN|연봉제수당여부
ANIC_ANICEX_DVCD|연봉연봉외구분코드
ANIC_ANNU_DVCD|연봉연차구분코드
ANIC_CLCL_PRINT_YN|연봉산출출력여부
ANIC_DEGR_DVCD|연봉학위구분코드
ANIC_TGTR_YN|연봉대상자여부
ANIC|연봉
ANIMN|마리수
ANIMS_NM|동물종명
ANIMS|동물종
ANIM|동물
ANLS_TEXT|분석내용
ANLS|분석
ANNO_BEGIN_YMD|공지시작일자
ANNO_END_DT|공지종료일시
ANNO_END_YMD|공지종료일자
ANNO_EXEC_YN|공지실행여부
ANNO_INPT_BEGIN_TIME|공지입력시작시간
